Teilnehmer;Anmeldeart_A;Verfahren;Bezugsnummer/LRN;Anlagedatum;Zeit;Registrienummer/MRN;Weitere Reg.Nr.;EDIFNR;Versender EORI;Versender Name;Versender Ländercode;Empfänger EORI;Empfänger Name;Empfänger Ländercode;Anmelder EORI;Anmelder Name;Anmelder Ländercode;ZollRechtlicherStatus;Liefercode;Lieferort;Lieferkey;Geschäftsart;Rechnungsbetrag;Rechnungswährung;Rechnungskurs;Addressierte Zollstelle;Aufschubart;AufschubHZAZoll;AufschubkontoZoll;AufschubTextZoll;AufschubEORIZoll;AufschubKennzeichenEigenZoll;AufschubArtEust;AufschubHZAEust;AufschubKontoEusT;AufschubTextEust;AufschubEORIEust;AufschubKennzeichenEigenEust;Container;PositionNo;Positionen;Vorraussichtliche Zollabgabe;Vorraussichtliche Zollsatzabgabe;Vorraussichtliche Eustabgabe;Vorraussichtliche Eustsatzabgabe;AbgabeZoll;AbgabeZollsatz;AbgabeEust;AbgabeEustsatz;Status Steuerbescheid;ArtikelCode;Warentarifnummer;Warenzusatz1;Warenzusatz2;Warenbezeichnung;Verfahren;EU Code;Artikelpreis;Ursprung;Präferenzursprungsland;Beguenstigung;Rohmasse;Rohmasseeinheit;Eigenmasse;Eigenmasseeinheit;Positionszusatz;Aussenhandelstatistische Menge;AnzahlPackstücke;Packstückart;Packstückbezeichnung;Zusätzliche angaben;SonderAbgabeZoll;SonderAbgabeEust;AbgabeZusatzzölle;AbgabeAntidumping;Verbrauchssteuern;DV1Rechnungsbetrag;DV1Rechnugnswährung;DV1UmgerechnerterRechnungsbetrag;DV1UmrechnungsWährung;DV1Versicherung;DV1Versicherungswährung;DV1Luftfrachtkosten;DV1Luftfrachtkostenwährung;DV1Frachtkosten;DV1Frachtkostenwährung;DV1Materialien;DV1MaterialienWährung;Abflughafen Code;Abflughafen Text;Vorpapiere Registriernummer
ZOCE;EZA;IMDC;STPE0533588-HELLA;03.03.2025;11:04;25DE4851CCA00V5VR1;ATC400369550320254851;CUSTAX48510000823225076030325215631;;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Taoyuan;1;11;27230,88;EUR;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;5;5;93,69;2,7;682,46;19;93,69;2,7;682,46;19;5;010.458-771;85122000900;;;hier: 48 Set Leuchte für KFZ T PO MD12/24 (8ER) GN 2PT, Artikel: 010.458-771, P/O: 5700104276;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;3431,04;Taiwan;;100;;;49,2;KGM;;;0;;;;;;;;;3431,04;EUR;3431,04;EUR;0,47;EUR;;;38,54;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533588-HELLA;03.03.2025;11:04;25DE4851CCA00V5VR1;ATC400369550320254851;CUSTAX48510000823225076030325215631;;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Taoyuan;1;11;27230,88;EUR;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;4;5;143,21;2,7;1042,15;19;143,21;2,7;1042,15;19;5;010.458-771;85122000900;;;hier: 72 Set Leuchte für KFZ T PO MD12/24 (8ER) GN 2PT, Artikel: 010.458-771, P/O: 5700183649;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;5251,68;Taiwan;;100;;;66;KGM;;;0;;;;;;;;;5251,68;EUR;5251,68;EUR;0,63;EUR;;;51,7;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533588-HELLA;03.03.2025;11:04;25DE4851CCA00V5VR1;ATC400369550320254851;CUSTAX48510000823225076030325215631;;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Taoyuan;1;11;27230,88;EUR;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;3;5;192,25;2,7;1403,37;19;192,25;2,7;1403,37;19;5;010.458-701;85122000900;;;hier:144 Set LEUCHTE T MD12/24 (5ER) GN 2PT für KFZ, Artikel: 010.458-701, P/O: 5700104348;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;7018,56;Taiwan;;100;;;128,4;KGM;;;0;;;;;;;;;7018,56;EUR;7018,56;EUR;1,23;EUR;;;100,58;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533588-HELLA;03.03.2025;11:04;25DE4851CCA00V5VR1;ATC400369550320254851;CUSTAX48510000823225076030325215631;;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Taoyuan;1;11;27230,88;EUR;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;2;5;189,58;2,7;1381,16;19;189,58;2,7;1381,16;19;5;009.362-067;85122000900;;;hier: 576 Stk Rückleuchte für KFZ SB MD12 2SB, Artikel: 009.362-067, P/O:  5700098385;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;6940,8;Taiwan;;100;;;101,7;KGM;;;0;;;;;;;;;6940,8;EUR;6940,8;EUR;0,97;EUR;;;79,67;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533588-HELLA;03.03.2025;11:04;25DE4851CCA00V5VR1;ATC400369550320254851;CUSTAX48510000823225076030325215631;;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Taoyuan;1;11;27230,88;EUR;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;1;5;125,95;2,7;920,71;19;125,95;2,7;920,71;19;5;009.362-011;85122000900;;;hier: 384 Stk. Rückleuchte für KFZ SB MD24 2SB, Artikel: 009.362-011, P/O:  5700079230;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;4588,8;Taiwan;;100;;;96;KGM;;;5;PX;Adresse;;;;;;;4588,8;EUR;4588,8;EUR;0,92;EUR;;;75,2;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533746-HELLA;03.03.2025;11:20;25DE4851CCA00V9FR6;ATC400370800320254851;CUSTAX48510000823232515030325230535;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;7319,9;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;8;8;18,47;2,7;139,39;19;18,47;2,7;139,39;19;5;357.033-001;85122000900;;;"hier: 240 Stk. Heckleuchten für Kraftfahrzeuge, Artikel: 357.033-001; P/O: 5700100536";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;631,2;Taiwan;;100;;;62,4;KGM;;;0;;;;;;;;;631,2;USD;604,95;EUR;0,23;USD;;;31,45;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533746-HELLA;03.03.2025;11:20;25DE4851CCA00V9FR6;ATC400370800320254851;CUSTAX48510000823232515030325230535;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;7319,9;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;7;8;14,37;2,7;105,06;19;14,37;2,7;105,06;19;5;;85122000900;;;hier: 50 Stk. Leuchten für Kraftfahrzeuge, SRBBL MD9-36V 2VA, Artikel: 357.023-021, P/O: 5700100526;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;538;Taiwan;;100;;;13;KGM;;;0;;;;;;;;;538;USD;515,62;EUR;0,05;USD;;;6,55;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533746-HELLA;03.03.2025;11:20;25DE4851CCA00V9FR6;ATC400370800320254851;CUSTAX48510000823232515030325230535;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;7319,9;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;6;8;14,37;2,7;105,06;19;14,37;2,7;105,06;19;5;357.023-021;85122000900;;;hier: 50 Stk. Leuchten für Kraftfahrzeuge, SRBBL MD9-36V 2VA, Artikel: 357.023-021, P/O: 5700100526;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;538;Taiwan;;100;;;13;KGM;;;0;;;;;;;;;538;USD;515,62;EUR;0,05;USD;;;6,55;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533746-HELLA;03.03.2025;11:20;25DE4851CCA00V9FR6;ATC400370800320254851;CUSTAX48510000823232515030325230535;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;7319,9;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;5;8;13,03;2,7;97,04;19;13,03;2,7;97,04;19;5;357.012-021;85122000900;;;hier: 400 Stk. Leuchten für Kraftfahrzeuge, POR 2PG, Artikel: 357.012-021, P/O: 5700100517;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;464;Taiwan;;100;;;30;KGM;;;0;;;;;;;;;464;USD;444,7;EUR;0,11;USD;;;15,12;EUR;;;;;
ZOCE;EZA;IMDC;STPE0533746-HELLA;03.03.2025;11:20;25DE4851CCA00V9FR6;ATC400370800320254851;CUSTAX48510000823232515030325230535;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;7319,9;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;4;8;13,03;2,7;97,04;19;13,03;2,7;97,04;19;5;357.012-021;85122000900;;;hier: 400 Stk. Leuchten für Kraftfahrzeuge, POR 2PG, Artikel: 357.012-021, P/O: 5700100517;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;464;Taiwan;;100;;;30;KGM;;;0;;;;;;;;;464;USD;444,7;EUR;0,11;USD;;;15,12;EUR;;;;;
