Teilnehmer;Anmeldeart_A;Verfahren;Bezugsnummer/LRN;Anlagedatum;Zeit;Zeitpunkt der letzten CUSTAX;Überlassungsdatum;Annahmedatum;Registriernummer/MRN;Weitere Reg.Nr.;EDIFNR;Versendungsland;Art der Vertretung;Vertreter des Anmelders;Vertreter AE EORI;AE Name;Versender CZ EORI;CZ Code;CZ Name;CZ Ländercode;Empfänger CN EORI;CN Code;CN Name;CN Ländercode;Anmelder DT EORI;DT Code;DT Name;DT Ländercode;UstID-DT;Käufer BY Name;BY EORI;Verkäufer SL Name;SL EORI;ZollRechtlicherStatus;Bewilligungsnummer;Gesamtgewicht;Vorst. Abzug;Liefercode;Lieferort;Lieferkey;Geschäftsart;Rechnungsbetrag;Rechnungswährung;Rechnungskurs;Zollstelle;Aufschubart;HZAZoll;KontoZoll;TextZoll;EORIZoll;KennzeichenEigenZoll;ArtEust;HZAEust;KontoEusT;TextEust;EORIEust;KennzeichenEigenEust;Container;Unterlagenzeile;Unterlagenbereich;Unterlagenart;Unterlagennummer;Unterlagendatum;PositionNo;Positionen;Vorausstl. Zollabgabe;Vorausstl. Zollsatzabgabe;Vorausstl. Eustabgabe;Vorausstl. Eustsatzabgabe;Zollwert;AbgabeZoll;AbgabeZollsatz;Eustwert;AbgabeEust;AbgabeEustsatz;AbgabeAntidumping;AbgabeAntidumpingSatz;Status Steuerbescheid;ArtikelCode;Warentarifnummer;Warenzusatz1;Warenzusatz2;Warenbezeichnung;Verfahren;EU Code;Artikelpreis;Statistischerwert;Eust manuell;Ursprung;Präferenzursprungsland;Beguenstigung;Rohmasse;Rohmasseeinheit;Eigenmasse;Eigenmasseeinheit;Positionszusatz;Aussenhandelstatistische Menge;Maßeinheit;AnzahlPackstücke;Packstückart;Packstückbezeichnung;Zusätzliche angaben;SonderAbgabeZoll;SonderAbgabeEust;AbgabeZusatzzölle;SonderAbgabeAntidumping;Verbrauchssteuern;Positionsunterlagenzeile;Unterlagenbereich;Unterlagenart;Unterlagennummer;Unterlagendatum;Nettokurs EAB;DV1Rechnungsbetrag;Währung;DV1UmgerechnerterRechnungsbetrag;Währung;DV1Versicherung;Währung;DV1Luftfrachtkosten;Währung;DV1Frachtkosten;Währung;DV1Materialien;Währung;DV1Provisionen;Währung;Abflughafen Code;Abflughafen Text;Vorpapierart;Vorpapiere Reg.nummer;BEAnteil SumA;BEAnteil ZL;BEAnteil AV;UST-ID Einführer;UST-ID Erwerber;UST-ID Fiskalvertreter;Shipmentnummer;Importstatus;DV1 Nettopreis Kurs; DV1 Luftfrachtkosten LK;DV1 LK Waehrung;DV1 LK prozent.Anteil;DV1 LK Kurs;DV1 Bef.kosten bis Ort des Verbringens;DV1 Befoerderungswaehrung;DV1 Befoerderungskurs;DV1 Lade/Behandlungskosten;DV1 Ladekostenwaehrung;DV1 Versicherungskosten;DV1 Versicherungskostenwaehrung;DV1 Versicherung prozent.Anteil;DV1 Befoerderungskosten nach Ankunft;DV1 Befoerderungskosten n.A. Waehrung;DV1 Befoerderungskosten n.A. Kurs;DV1 Andere Zahlungen;DV1 Andere Zahlungenwaehrung
ZOCE;EZA;IMDC;SBKK0464565-HELLA-1;30.07.2025;17:24;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WJR0;ATC402166790720254851;CUSTAX48510000856019352300725214236;TH;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;DELTA ELECTRONICS;Delta Electronics (Thailand) Public Company Limited;TH;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Delta Electronics (Thailand) Public Company Limited;;IM;;324;J;FCA;Bangkok;3;11;28684,8;USD;1,1508;DE004851 -- Hamburg;A0000;MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;1;579,1;2,3;4924,7;19;25178,31;579,1;2,3;25919,45;4924,7;19;;;5;234.312-03;84145925900;;;hier: 11520 Stk Axialventilatoren für KFZ, Artikel: 234.312-03, P/O: 5500151481;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;28684,8;25178;162,04;Thailand;;100;;;241,9;KGM;;11520;NAR;1;PX;Adresse;;;;;;;0;4;N380;9404420267;29.05.2025;1,1508;28684,8;USD;24925,96;EUR;4,45;USD;;;79,03;EUR;;;;;;;ATNEU;; 25DE4851G00030YMU5 - POS 2;;;;;;;;1,1508;;;;;79,03;EUR;1;169,45;EUR;4,45;USD;;;;;;
ZOCE;EZA;IMDC;SBKK0464565-HELLA-1;30.07.2025;17:24;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WJR0;ATC402166790720254851;CUSTAX48510000856019352300725214236;TH;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;DELTA ELECTRONICS;Delta Electronics (Thailand) Public Company Limited;TH;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Delta Electronics (Thailand) Public Company Limited;;IM;;324;J;FCA;Bangkok;3;11;28684,8;USD;1,1508;DE004851 -- Hamburg;A0000;MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;1;579,1;2,3;4924,7;19;25178,31;579,1;2,3;25919,45;4924,7;19;;;5;234.312-03;84145925900;;;hier: 11520 Stk Axialventilatoren für KFZ, Artikel: 234.312-03, P/O: 5500151481;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;28684,8;25178;162,04;Thailand;;100;;;241,9;KGM;;11520;NAR;1;PX;Adresse;;;;;;;1;4;7HHF;BKK0464565;13.06.2025;1,1508;28684,8;USD;24925,96;EUR;4,45;USD;;;79,03;EUR;;;;;;;ATNEU;; 25DE4851G00030YMU5 - POS 2;;;;;;;;1,1508;;;;;79,03;EUR;1;169,45;EUR;4,45;USD;;;;;;
ZOCE;EZA;IMDC;SBKK0464565-HELLA-1;30.07.2025;17:24;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WJR0;ATC402166790720254851;CUSTAX48510000856019352300725214236;TH;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;DELTA ELECTRONICS;Delta Electronics (Thailand) Public Company Limited;TH;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Delta Electronics (Thailand) Public Company Limited;;IM;;324;J;FCA;Bangkok;3;11;28684,8;USD;1,1508;DE004851 -- Hamburg;A0000;MS;20123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;1;579,1;2,3;4924,7;19;25178,31;579,1;2,3;25919,45;4924,7;19;;;5;234.312-03;84145925900;;;hier: 11520 Stk Axialventilatoren für KFZ, Artikel: 234.312-03, P/O: 5500151481;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;28684,8;25178;162,04;Thailand;;100;;;241,9;KGM;;11520;NAR;1;PX;Adresse;;;;;;;2;5;Y069;;;1,1508;28684,8;USD;24925,96;EUR;4,45;USD;;;79,03;EUR;;;;;;;ATNEU;; 25DE4851G00030YMU5 - POS 2;;;;;;;;1,1508;;;;;79,03;EUR;1;169,45;EUR;4,45;USD;;;;;;
ZOCE;EZA;IMDC;SSEL0495234-TLLU-HELL1;30.07.2025;17:23;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WHR1;ATC402166770720254851;CUSTAX48510000856019330300725214213;KR;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;BIOLIGHT;BIOLIGHT Co., LTD.;KR;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;BIOLIGHT Co., LTD.;;IM;;4838,5;J;FOB;Busan;1;11;182296,58;EUR;;DE004851 -- Hamburg;A0000;;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;19;0;0;3899,83;19;20406,57;0;0;20525,4;3899,83;19;;;5;009.319-001;85392130000;;;hier: 15000 Stk Wolfram-Halogen-Glühlampen für Kraftfahrzeuge HIR2 9012 ECE R-37 12V 55W    8GH, Artikel: 009.319-0011, P/O: 4502948175 ;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;20182,5;20407;;Südkorea (Republik Korea);KR;300;;;403,2;KGM;;15000;NAR;42;PK;Adresse;;;;;;;0;3;N864;020-11-200168;08.01.2025;;20182,5;EUR;20182,5;EUR;2,56;EUR;;;221,51;EUR;;;;;;;ATNEU;; ATB151043950720254851 - POS 1;;;;;;;;1;;;;;221,51;EUR;1;;;2,56;EUR;;;;;;
ZOCE;EZA;IMDC;SSEL0495234-TLLU-HELL1;30.07.2025;17:23;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WHR1;ATC402166770720254851;CUSTAX48510000856019330300725214213;KR;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;BIOLIGHT;BIOLIGHT Co., LTD.;KR;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;BIOLIGHT Co., LTD.;;IM;;4838,5;J;FOB;Busan;1;11;182296,58;EUR;;DE004851 -- Hamburg;A0000;;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;19;0;0;3899,83;19;20406,57;0;0;20525,4;3899,83;19;;;5;009.319-001;85392130000;;;hier: 15000 Stk Wolfram-Halogen-Glühlampen für Kraftfahrzeuge HIR2 9012 ECE R-37 12V 55W    8GH, Artikel: 009.319-0011, P/O: 4502948175 ;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;20182,5;20407;;Südkorea (Republik Korea);KR;300;;;403,2;KGM;;15000;NAR;42;PK;Adresse;;;;;;;1;4;N380;BA-250228-003;03.04.2025;;20182,5;EUR;20182,5;EUR;2,56;EUR;;;221,51;EUR;;;;;;;ATNEU;; ATB151043950720254851 - POS 1;;;;;;;;1;;;;;221,51;EUR;1;;;2,56;EUR;;;;;;
ZOCE;EZA;IMDC;SSEL0495234-TLLU-HELL1;30.07.2025;17:23;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WHR1;ATC402166770720254851;CUSTAX48510000856019330300725214213;KR;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;BIOLIGHT;BIOLIGHT Co., LTD.;KR;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;BIOLIGHT Co., LTD.;;IM;;4838,5;J;FOB;Busan;1;11;182296,58;EUR;;DE004851 -- Hamburg;A0000;;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;19;0;0;3899,83;19;20406,57;0;0;20525,4;3899,83;19;;;5;009.319-001;85392130000;;;hier: 15000 Stk Wolfram-Halogen-Glühlampen für Kraftfahrzeuge HIR2 9012 ECE R-37 12V 55W    8GH, Artikel: 009.319-0011, P/O: 4502948175 ;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;20182,5;20407;;Südkorea (Republik Korea);KR;300;;;403,2;KGM;;15000;NAR;42;PK;Adresse;;;;;;;2;4;7HHF;SEL0495234;21.05.2025;;20182,5;EUR;20182,5;EUR;2,56;EUR;;;221,51;EUR;;;;;;;ATNEU;; ATB151043950720254851 - POS 1;;;;;;;;1;;;;;221,51;EUR;1;;;2,56;EUR;;;;;;
ZOCE;EZA;IMDC;SSEL0495234-TLLU-HELL1;30.07.2025;17:23;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WHR1;ATC402166770720254851;CUSTAX48510000856019330300725214213;KR;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;BIOLIGHT;BIOLIGHT Co., LTD.;KR;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;BIOLIGHT Co., LTD.;;IM;;4838,5;J;FOB;Busan;1;11;182296,58;EUR;;DE004851 -- Hamburg;A0000;;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;2;19;0;0;260,83;19;1364,89;0;0;1372,79;260,83;19;;;5;223.498-351;85392130000;;;"hier: 1000 Stk. Wolfram-Halogen-Glühlampen für Kraftfahrzeuge  H11 12V 55W PGJ19-2 LL 8GH, Artikel: 223.498-351, P/O: 4502950043 

";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;1350;1365;;Südkorea (Republik Korea);KR;300;;;26,8;KGM;;1000;NAR;;;;;;;;;;0;3;N864;020-11-200168;08.01.2025;;1350;EUR;1350;EUR;0,17;EUR;;;14,72;EUR;;;;;;;ATNEU;; ATB151043950720254851 - POS 1;;;;;;;;1;;;;;14,72;EUR;1;;;0,17;EUR;;;;;;
ZOCE;EZA;IMDC;SSEL0495234-TLLU-HELL1;30.07.2025;17:23;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WHR1;ATC402166770720254851;CUSTAX48510000856019330300725214213;KR;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;BIOLIGHT;BIOLIGHT Co., LTD.;KR;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;BIOLIGHT Co., LTD.;;IM;;4838,5;J;FOB;Busan;1;11;182296,58;EUR;;DE004851 -- Hamburg;A0000;;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;2;19;0;0;260,83;19;1364,89;0;0;1372,79;260,83;19;;;5;223.498-351;85392130000;;;"hier: 1000 Stk. Wolfram-Halogen-Glühlampen für Kraftfahrzeuge  H11 12V 55W PGJ19-2 LL 8GH, Artikel: 223.498-351, P/O: 4502950043 

";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;1350;1365;;Südkorea (Republik Korea);KR;300;;;26,8;KGM;;1000;NAR;;;;;;;;;;1;4;N380;BA-250228-003;03.04.2025;;1350;EUR;1350;EUR;0,17;EUR;;;14,72;EUR;;;;;;;ATNEU;; ATB151043950720254851 - POS 1;;;;;;;;1;;;;;14,72;EUR;1;;;0,17;EUR;;;;;;
ZOCE;EZA;IMDC;SSEL0495234-TLLU-HELL1;30.07.2025;17:23;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WHR1;ATC402166770720254851;CUSTAX48510000856019330300725214213;KR;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;BIOLIGHT;BIOLIGHT Co., LTD.;KR;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;BIOLIGHT Co., LTD.;;IM;;4838,5;J;FOB;Busan;1;11;182296,58;EUR;;DE004851 -- Hamburg;A0000;;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;2;19;0;0;260,83;19;1364,89;0;0;1372,79;260,83;19;;;5;223.498-351;85392130000;;;"hier: 1000 Stk. Wolfram-Halogen-Glühlampen für Kraftfahrzeuge  H11 12V 55W PGJ19-2 LL 8GH, Artikel: 223.498-351, P/O: 4502950043 

";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;1350;1365;;Südkorea (Republik Korea);KR;300;;;26,8;KGM;;1000;NAR;;;;;;;;;;2;4;7HHF;SEL0495234;21.05.2025;;1350;EUR;1350;EUR;0,17;EUR;;;14,72;EUR;;;;;;;ATNEU;; ATB151043950720254851 - POS 1;;;;;;;;1;;;;;14,72;EUR;1;;;0,17;EUR;;;;;;
ZOCE;EZA;IMDC;SSEL0495234-TLLU-HELL1;30.07.2025;17:23;30.07.2025 21:42;30.07.2025;30.07.2025;25DE4851GCA051WHR1;ATC402166770720254851;CUSTAX48510000856019330300725214213;KR;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;BIOLIGHT;BIOLIGHT Co., LTD.;KR;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;BIOLIGHT Co., LTD.;;IM;;4838,5;J;FOB;Busan;1;11;182296,58;EUR;;DE004851 -- Hamburg;A0000;;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;B0000;MS;30441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;3;19;0;0;21,18;19;110,96;0;0;111,48;21,18;19;;;5;217.337-101;85392130000;;;"hier: 100 Stk Wolfram-Halogen-Glühlampen für Kraftfahrzeuge ECE-R37 H18 12V 65W STD       8GH, Artikel: 217.337-101, P/O: 4502950043 

";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;110;111;;Südkorea (Republik Korea);KR;300;;;1,7;KGM;;100;NAR;;;;;;;;;;0;3;N864;020-11-200168;08.01.2025;;110;EUR;110;EUR;0,01;EUR;;;0,95;EUR;;;;;;;ATNEU;; ATB151043950720254851 - POS 1;;;;;;;;1;;;;;0,95;EUR;1;;;0,01;EUR;;;;;;
