Teilnehmer;Anmeldeart_A;Verfahren;Bezugsnummer/LRN;Anlagedatum;Zeit;Registrienummer/MRN;Weitere Reg.Nr.;EDIFNR;Versender EORI;Versender Name;Versender Ländercode;Empfänger EORI;Empfänger Name;Empfänger Ländercode;Anmelder EORI;Anmelder Name;Anmelder Ländercode;ZollRechtlicherStatus;Liefercode;Lieferort;Lieferkey;Geschäftsart;Rechnungsbetrag;Rechnungswährung;Rechnungskurs;Addressierte Zollstelle;Aufschubart;AufschubHZAZoll;AufschubkontoZoll;AufschubTextZoll;AufschubEORIZoll;AufschubKennzeichenEigenZoll;AufschubArtEust;AufschubHZAEust;AufschubKontoEusT;AufschubTextEust;AufschubEORIEust;AufschubKennzeichenEigenEust;Container;PositionNo;Positionen;Vorraussichtliche Zollabgabe;Vorraussichtliche Zollsatzabgabe;Vorraussichtliche Eustabgabe;Vorraussichtliche Eustsatzabgabe;AbgabeZoll;AbgabeZollsatz;AbgabeEust;AbgabeEustsatz;Status Steuerbescheid;ArtikelCode;Warentarifnummer;Warenzusatz1;Warenzusatz2;Warenbezeichnung;Verfahren;EU Code;Artikelpreis;Ursprung;Präferenzursprungsland;Beguenstigung;Rohmasse;Rohmasseeinheit;Eigenmasse;Eigenmasseeinheit;Positionszusatz;Aussenhandelstatistische Menge;AnzahlPackstücke;Packstückart;Packstückbezeichnung;Zusätzliche angaben;SonderAbgabeZoll;SonderAbgabeEust;AbgabeZusatzzölle;AbgabeAntidumping;Verbrauchssteuern;DV1Rechnungsbetrag;DV1Rechnugnswährung;DV1UmgerechnerterRechnungsbetrag;DV1UmrechnungsWährung;DV1Versicherung;DV1Versicherungswährung;DV1Luftfrachtkosten;DV1Luftfrachtkostenwährung;DV1Frachtkosten;DV1Frachtkostenwährung;DV1Materialien;DV1MaterialienWährung;Abflughafen Code;Abflughafen Text;Vorpapiere Registriernummer
ZOCE;EZA;IPDC;SSEL0463164-TCKU-HELLA;04.02.2025;14:53;25DE4851BCA02SA4R7;ATC401191650220254851;CUSTAX48510000818694288120225134534;;DH Lighting Co. Ltd.;CN;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Busan;1;11;100900,80;EUR;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;1;1;2779,52;2,7;20317,36;19;2779,52;2,7;20317,36;19;5;007.157-121;85392130000;;;hier: 184800 Stk. Wolfram-Halogen-Glühlampen für Kraftfahrzeuge ECE-R 37-H7-12V55W STANDARD   8GH, Artikel: 007.157-121, P/O: 4502920578;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;100900,80;Südkorea (Republik Korea);;100;;;2217,600000;KGM;;184800,000;22;PX;Adresse;;;;;;;100900,80;EUR;100900,80;EUR;15,64;EUR;;;2028,86;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;57;57;374,14;2,7;2738,85;19;374,14;2,7;2738,85;19;5;;85129090000;;;hier: 6240 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 184.107-281, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;13852,80;Taiwan;;100;;;2052,900000;KGM;;;0;;;;;;;;;13852,80;USD;13265,15;EUR;2,33;USD;;;589,50;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;56;57;204,78;2,7;1500,09;19;204,78;2,7;1500,09;19;5;;85129090000;;;hier: 3840 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 184.107-261, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;7564,80;Taiwan;;100;;;1181,700000;KGM;;;0;;;;;;;;;7564,80;USD;7243,90;EUR;1,34;USD;;;339,34;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;55;57;254,99;2,7;1865,80;19;254,99;2,7;1865,80;19;5;;85129090000;;;hier: 4800 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 184.107-241, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;9456,00;Taiwan;;100;;;1350,000000;KGM;;;0;;;;;;;;;9456,00;USD;9054,87;EUR;1,54;USD;;;387,67;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;54;57;62,22;2,7;452,46;19;62,22;2,7;452,46;19;5;;85129090000;;;hier: 560 Set. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.232-341, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;2357,60;Taiwan;;100;;;162,900000;KGM;;;0;;;;;;;;;2357,60;USD;2257,59;EUR;0,19;USD;;;46,78;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;53;57;21,12;2,7;153,64;19;21,12;2,7;153,64;19;5;;85129090000;;;hier: 190 Set. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.232-321, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;799,90;Taiwan;;100;;;57,000000;KGM;;;0;;;;;;;;;799,90;USD;765,97;EUR;0,06;USD;;;16,37;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;52;57;50,87;2,7;372,77;19;50,87;2,7;372,77;19;5;;85129090000;;;hier: 480 Set. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 204.480-811, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;1876,80;Taiwan;;100;;;301,400000;KGM;;;0;;;;;;;;;1876,80;USD;1797,18;EUR;0,34;USD;;;86,55;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;51;57;22,37;2,7;162,84;19;22,37;2,7;162,84;19;5;;85129090000;;;hier: 960 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 204.163-201, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;844,80;Taiwan;;100;;;68,100000;KGM;;;0;;;;;;;;;844,80;USD;808,96;EUR;0,08;USD;;;19,56;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;50;57;22,89;2,7;166,36;19;22,89;2,7;166,36;19;5;;85129090000;;;hier: 240 Set Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.164-291, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;868,80;Taiwan;;100;;;54,900000;KGM;;;0;;;;;;;;;868,80;USD;831,94;EUR;0,06;USD;;;15,77;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0727021-HLBU-HELLA;04.02.2025;15:06;25DE4851BCA024SFR8;ATC400915960220254851;CUSTAX48510000818096207100225081228;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;49;57;14,76;2,7;107,83;19;14,76;2,7;107,83;19;5;;85129090000;;;hier: 320 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.053-201, PO#: 4502921463;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;550,40;Taiwan;;100;;;68,100000;KGM;;;0;;;;;;;;;550,40;USD;527,05;EUR;0,08;USD;;;19,56;EUR;;;;;
