Teilnehmer;Anmeldeart_A;Verfahren;Bezugsnummer/LRN;Anlagedatum;Zeit;Registrienummer/MRN;Weitere Reg.Nr.;EDIFNR;Versender EORI;Versender Name;Versender Ländercode;Empfänger EORI;Empfänger Name;Empfänger Ländercode;Anmelder EORI;Anmelder Name;Anmelder Ländercode;ZollRechtlicherStatus;Liefercode;Lieferort;Lieferkey;Geschäftsart;Rechnungsbetrag;Rechnungswährung;Rechnungskurs;Addressierte Zollstelle;Aufschubart;AufschubHZAZoll;AufschubkontoZoll;AufschubTextZoll;AufschubEORIZoll;AufschubKennzeichenEigenZoll;AufschubArtEust;AufschubHZAEust;AufschubKontoEusT;AufschubTextEust;AufschubEORIEust;AufschubKennzeichenEigenEust;Container;PositionNo;Positionen;Vorraussichtliche Zollabgabe;Vorraussichtliche Zollsatzabgabe;Vorraussichtliche Eustabgabe;Vorraussichtliche Eustsatzabgabe;AbgabeZoll;AbgabeZollsatz;AbgabeEust;AbgabeEustsatz;Status Steuerbescheid;ArtikelCode;Warentarifnummer;Warenzusatz1;Warenzusatz2;Warenbezeichnung;Verfahren;EU Code;Artikelpreis;Ursprung;Präferenzursprungsland;Beguenstigung;Rohmasse;Rohmasseeinheit;Eigenmasse;Eigenmasseeinheit;Positionszusatz;Aussenhandelstatistische Menge;AnzahlPackstücke;Packstückart;Packstückbezeichnung;Zusätzliche angaben;SonderAbgabeZoll;SonderAbgabeEust;AbgabeZusatzzölle;AbgabeAntidumping;Verbrauchssteuern;DV1Rechnungsbetrag;DV1Rechnugnswährung;DV1UmgerechnerterRechnungsbetrag;DV1UmrechnungsWährung;DV1Versicherung;DV1Versicherungswährung;DV1Luftfrachtkosten;DV1Luftfrachtkostenwährung;DV1Frachtkosten;DV1Frachtkostenwährung;DV1Materialien;DV1MaterialienWährung;Abflughafen Code;Abflughafen Text;Vorpapiere Registriernummer
ZOCE;EZA;IMDC;SQRO0044774-HELLA;02.04.2025;14:03;25DE4851DCA007BRR4;ATC400089830420254851;CUSTAX48510000830225233020425232735;;Hella Automotive Mexico S.A. de  C.V.;MX;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;Guanajuato;1;11;26901,60;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;2;2;368,58;2,7;2683,10;19;368,58;2,7;2683,10;19;5;;85395100000;;;"Projektionsmodule LED -   LED-Lichtquellen für Kfz-Scheinwerfer Artikel: 213.175-270, P/O: 5500152958
";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;14405,86;Mexiko;;100;;;100,000000;KGM;;240,000;0;;;;;;;;;14405,86;USD;13220,02;EUR;2,23;USD;;;25,69;EUR;;;;;
ZOCE;EZA;IMDC;SQRO0044774-HELLA;02.04.2025;14:03;25DE4851DCA007BRR4;ATC400089830420254851;CUSTAX48510000830225233020425232735;;Hella Automotive Mexico S.A. de  C.V.;MX;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;Guanajuato;1;11;26901,60;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;1;2;0,00;0,0;2279,98;19;0,00;0,0;2279,98;19;5;;85395100000;;;"Projektionsmodule LED -   LED-Lichtquellen für Kfz-Scheinwerfer Artikel: 213.175-240, P/O: 5500148123

";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;12495,74;Mexiko;MX;300;;;100,000000;KGM;;240,000;2;PX;adresse;;;;;;;12495,74;USD;11467,14;EUR;1,94;USD;;;25,70;EUR;;;;;
ZOCE;EZA;IMDC;SHKG1291327-HELLA;07.04.2025;12:15;25DE4851DCA00V8AR0;ATC400370330420254851;CUSTAX48510000831327427070425235026;;BI Technologies Corp. Sdn. Bhd.;MY;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FCA;Hong Kong;1;11;24912,00;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;1;1;0,00;0,0;4446,42;19;0,00;0,0;4446,42;19;5;;85045000000;;;"hier: 72000 Stk. Drosselspulen, nicht für Telekommunikation, für KFZ , Artikel: 790.929-10
P/O: 5500137206";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;24912,00;China;;100;;;98,200000;KGM;;;1;PX;Adresse;;;;;;;24912,00;USD;22861,34;EUR;3,86;USD;;;139,39;EUR;;;;;
ZOCE;EZA;IMDC;SHKG1289125-HELLA;07.04.2025;12:26;25DE4851DCA00VAXR5;ATC400371250420254851;CUSTAX48510000831332318080425003154;;BI Technologies Corp. Sdn. Bhd.;MY;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FCA;Hong Kong;1;11;24912,00;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);;;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;1;1;0,00;0,0;4446,42;19;0,00;0,0;4446,42;19;5;;85045000000;;;"hier: 72000 Stk. Drosselspulen, nicht für Telekommunikation, für KFZ , Artikel: 790.929-10
P/O: 5500137206";4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;24912,00;China;;100;;;98,500000;KGM;;;1;PX;Adresse;;;;;;;24912,00;USD;22861,34;EUR;3,86;USD;;;139,39;EUR;;;;;
ZOCE;EZA;IMDC;STPE0538136-HELLA;07.04.2025;12:40;25DE4851DCA00VC4R8;ATC400371670420254851;CUSTAX48510000831335601080425005647;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;21190,47;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;31;31;17,03;2,7;126,78;19;17,03;2,7;126,78;19;5;357.033-001;85122000900;;;hier: Heckleuchten für Kraftfahrzeuge, Artikel: 357.033-001, P/O: 5700100536;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;631,20;Taiwan;;100;;;62,400000;KGM;;;0;;;;;;;;;631,20;USD;579,24;EUR;0,22;USD;;;51,29;EUR;;;;;
ZOCE;EZA;IMDC;STPE0538136-HELLA;07.04.2025;12:40;25DE4851DCA00VC4R8;ATC400371670420254851;CUSTAX48510000831335601080425005647;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;21190,47;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;30;31;3,33;2,7;24,62;19;3,33;2,7;24,62;19;5;;85122000900;;;hier: Leuchten für Kraftfahrzeuge, , Artikel: 357.032-111, P/O: 5700100533;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;126,40;Taiwan;;100;;;9,000000;KGM;;;0;;;;;;;;;126,40;USD;116,00;EUR;0,03;USD;;;7,42;EUR;;;;;
ZOCE;EZA;IMDC;STPE0538136-HELLA;07.04.2025;12:40;25DE4851DCA00VC4R8;ATC400371670420254851;CUSTAX48510000831335601080425005647;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;21190,47;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;29;31;4,62;2,7;34,07;19;4,62;2,7;34,07;19;5;;85122000900;;;hier: Leuchten für Kraftfahrzeuge, , Artikel: 357.012-111, P/O: 5700100516;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;176,00;Taiwan;;100;;;11,600000;KGM;;;0;;;;;;;;;176,00;USD;161,51;EUR;0,04;USD;;;9,54;EUR;;;;;
ZOCE;EZA;IMDC;STPE0538136-HELLA;07.04.2025;12:40;25DE4851DCA00VC4R8;ATC400371670420254851;CUSTAX48510000831335601080425005647;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;21190,47;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;28;31;12,17;2,7;89,70;19;12,17;2,7;89,70;19;5;357.012-021;85122000900;;;hier: Leuchten für Kraftfahrzeuge, POR 2PG, Artikel: 357.012-021, P/O: 5700100517;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;464,00;Taiwan;;100;;;30,000000;KGM;;;0;;;;;;;;;464,00;USD;425,81;EUR;0,11;USD;;;24,66;EUR;;;;;
ZOCE;EZA;IMDC;STPE0538136-HELLA;07.04.2025;12:40;25DE4851DCA00VC4R8;ATC400371670420254851;CUSTAX48510000831335601080425005647;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;21190,47;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;27;31;12,17;2,7;89,70;19;12,17;2,7;89,70;19;5;357.012-021;85122000900;;;hier: Leuchten für Kraftfahrzeuge, POR 2PG, Artikel: 357.012-021, P/O: 5700100517;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;464,00;Taiwan;;100;;;30,000000;KGM;;;0;;;;;;;;;464,00;USD;425,81;EUR;0,11;USD;;;24,66;EUR;;;;;
ZOCE;EZA;IMDC;STPE0538136-HELLA;07.04.2025;12:40;25DE4851DCA00VC4R8;ATC400371670420254851;CUSTAX48510000831335601080425005647;;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;EXW;TAINAN;1;11;21190,47;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;26;31;13,62;2,7;99,21;19;13,62;2,7;99,21;19;5;357.023-021;85122000900;;;hier: Leuchten für Kraftfahrzeuge, SRBBL MD9-36V 2VA, Artikel: 357.023-021, P/O: 5700100526;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;538,00;Taiwan;;100;;;13,000000;KGM;;;0;;;;;;;;;538,00;USD;493,71;EUR;0,05;USD;;;10,69;EUR;;;;;
