Teilnehmer;Anmeldeart_A;Verfahren;Bezugsnummer/LRN;Anlagedatum;Zeit;Zeitpunkt der letzten CUSTAX;Überlassungsdatum;Annahmedatum;Registriernummer/MRN;Weitere Reg.Nr.;EDIFNR;Versendungsland;Art der Vertretung;Vertreter des Anmelders;Vertreter AE EORI;AE Name;Versender CZ EORI;CZ Code;CZ Name;CZ Ländercode;Empfänger CN EORI;CN Code;CN Name;CN Ländercode;Anmelder DT EORI;DT Code;DT Name;DT Ländercode;UstID-DT;Käufer BY Name;BY EORI;Verkäufer SL Name;SL EORI;ZollRechtlicherStatus;Bewilligungsnummer;Gesamtgewicht;Liefercode;Lieferort;Lieferkey;Geschäftsart;Rechnungsbetrag;Rechnungswährung;Rechnungskurs;Zollstelle;Aufschubart;HZAZoll;KontoZoll;TextZoll;EORIZoll;KennzeichenEigenZoll;ArtEust;HZAEust;KontoEusT;TextEust;EORIEust;KennzeichenEigenEust;Container;Unterlagenzeile;Unterlagenbereich;Unterlagenart;Unterlagennummer;Unterlagendatum;PositionNo;Positionen;Vorausstl. Zollabgabe;Vorausstl. Zollsatzabgabe;Vorausstl. Eustabgabe;Vorausstl. Eustsatzabgabe;Zollwert;AbgabeZoll;AbgabeZollsatz;Eustwert;AbgabeEust;AbgabeEustsatz;AbgabeAntidumping;AbgabeAntidumpingSatz;Status Steuerbescheid;ArtikelCode;Warentarifnummer;Warenzusatz1;Warenzusatz2;Warenbezeichnung;Verfahren;EU Code;Artikelpreis;Statistischerwert;Eust manuell;Ursprung;Präferenzursprungsland;Beguenstigung;Rohmasse;Rohmasseeinheit;Eigenmasse;Eigenmasseeinheit;Positionszusatz;Aussenhandelstatistische Menge;Maßeinheit;AnzahlPackstücke;Packstückart;Packstückbezeichnung;Zusätzliche angaben;SonderAbgabeZoll;SonderAbgabeEust;AbgabeZusatzzölle;SonderAbgabeAntidumping;Verbrauchssteuern;Positionsunterlagenzeile;Unterlagenbereich;Unterlagenart;Unterlagennummer;Unterlagendatum;DV1Rechnungsbetrag;Währung;DV1UmgerechnerterRechnungsbetrag;Währung;DV1Versicherung;Währung;DV1Luftfrachtkosten;Währung;DV1Frachtkosten;Währung;DV1Materialien;Währung;DV1Provisionen;Währung;Abflughafen Code;Abflughafen Text;Vorpapierart;Vorpapiere Reg.nummer;BEAnteil SumA;BEAnteil ZL;BEAnteil AV;UST-ID Einführer;UST-ID Erwerber;UST-ID Fiskalvertreter;Shipmentnummer;Importstatus
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;2;8;14,53;2,7;106,91;19;538,25;14,53;2,7;562,66;106,91;19;;;5;357.023-011;85122000900;;;hier: 50 Stk. Leuchten für Kraftfahrzeuge, SRBBLK MD9-36V 2VB, Artikel: 357.023-011, P/O: 5700100525;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;590,00;538,00;;Taiwan;;100;;;12,500000;KGM;;;;;;;;;;;;;0;4;7HHF;TPE0549902;07.04.2025;590,00;USD;521,16;EUR;0,05;USD;;;4,71;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;2;8;14,53;2,7;106,91;19;538,25;14,53;2,7;562,66;106,91;19;;;5;357.023-011;85122000900;;;hier: 50 Stk. Leuchten für Kraftfahrzeuge, SRBBLK MD9-36V 2VB, Artikel: 357.023-011, P/O: 5700100525;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;590,00;538,00;;Taiwan;;100;;;12,500000;KGM;;;;;;;;;;;;;1;4;N380;SYC-250325INV-HL;20.03.2025;590,00;USD;521,16;EUR;0,05;USD;;;4,71;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;3;8;11,69;2,7;86,47;19;432,96;11,69;2,7;455,09;86,47;19;;;5;357.019-011;85122000900;;;hier: 25 Stk. Leuchten SRBBL NES MD9-36V 2VP für Kraftfahrzeuge, Artikel: 357.019-011, P/O: 5700100521;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;469,75;433,00;;Taiwan;;100;;;13,200000;KGM;;;;;;;;;;;;;0;4;7HHF;TPE0549902;07.04.2025;469,75;USD;414,94;EUR;0,05;USD;;;4,97;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;3;8;11,69;2,7;86,47;19;432,96;11,69;2,7;455,09;86,47;19;;;5;357.019-011;85122000900;;;hier: 25 Stk. Leuchten SRBBL NES MD9-36V 2VP für Kraftfahrzeuge, Artikel: 357.019-011, P/O: 5700100521;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;469,75;433,00;;Taiwan;;100;;;13,200000;KGM;;;;;;;;;;;;;1;4;N380;SYC-250325INV-HL;20.03.2025;469,75;USD;414,94;EUR;0,05;USD;;;4,97;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;5;8;13,09;2,7;96,47;19;484,77;13,09;2,7;507,74;96,47;19;;;5;357.023-001;85122000900;;;hier: 50 Stk. Leuchten für Kraftfahrzeuge, BLPO MD9-36V 2BE, Artikel: 357.023-001, P/O: 5700100524;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;529,50;485,00;;Taiwan;;100;;;12,500000;KGM;;;;;;;;;;;;;0;4;7HHF;TPE0549902;07.04.2025;529,50;USD;467,71;EUR;0,05;USD;;;4,70;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;5;8;13,09;2,7;96,47;19;484,77;13,09;2,7;507,74;96,47;19;;;5;357.023-001;85122000900;;;hier: 50 Stk. Leuchten für Kraftfahrzeuge, BLPO MD9-36V 2BE, Artikel: 357.023-001, P/O: 5700100524;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;529,50;485,00;;Taiwan;;100;;;12,500000;KGM;;;;;;;;;;;;;1;4;N380;SYC-250325INV-HL;20.03.2025;529,50;USD;467,71;EUR;0,05;USD;;;4,70;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;6;8;13,29;2,7;97,94;19;492,28;13,29;2,7;515,45;97,94;19;;;5;357.023-021;85122000900;;;hier: 50 Stk. Leuchten für Kraftfahrzeuge, SRBBL MD9-36V 2VA, Artikel: 357.023-021, P/O: 5700100526;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;538,00;492,00;;Taiwan;;100;;;12,500000;KGM;;;;;;;;;;;;;0;4;7HHF;TPE0549902;07.04.2025;538,00;USD;475,22;EUR;0,05;USD;;;4,70;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;6;8;13,29;2,7;97,94;19;492,28;13,29;2,7;515,45;97,94;19;;;5;357.023-021;85122000900;;;hier: 50 Stk. Leuchten für Kraftfahrzeuge, SRBBL MD9-36V 2VA, Artikel: 357.023-021, P/O: 5700100526;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;538,00;492,00;;Taiwan;;100;;;12,500000;KGM;;;;;;;;;;;;;1;4;N380;SYC-250325INV-HL;20.03.2025;538,00;USD;475,22;EUR;0,05;USD;;;4,70;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;7;8;5,12;2,7;39,60;19;189,46;5,12;2,7;208,42;39,60;19;;;5;357.031-001;85122000900;;;hier: 24 Stk. Leuchten für Kraftfahrzeuge, SBBL 2SD, Artikel: 357.031.001,P/O:  5700100528;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;187,44;189,00;;Taiwan;;100;;;17,500000;KGM;;;;;;;;;;;;;0;4;7HHF;TPE0549902;07.04.2025;187,44;USD;165,57;EUR;0,07;USD;;;6,58;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
ZOCE;EZA;IMDC;STPE0549902-HELLA;27.05.2025;13:19;02.06.2025 17:19;02.06.2025;02.06.2025;25DE4851FCA005KTR4;ATC400068530620254851;CUSTAX48510000843503037020625171928;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;SHIN YUH;Shin Yuh Cherng Indsutrial Co., Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Shin Yuh Cherng Indsutrial Co., Ltd.;;IM;;285,000000;EXW;TAINAN;1;11;5324,05;USD;1,1321;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;7;8;5,12;2,7;39,60;19;189,46;5,12;2,7;208,42;39,60;19;;;5;357.031-001;85122000900;;;hier: 24 Stk. Leuchten für Kraftfahrzeuge, SBBL 2SD, Artikel: 357.031.001,P/O:  5700100528;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;187,44;189,00;;Taiwan;;100;;;17,500000;KGM;;;;;;;;;;;;;1;4;N380;SYC-250325INV-HL;20.03.2025;187,44;USD;165,57;EUR;0,07;USD;;;6,58;EUR;;;;;;;ATNEU;; 25DE4851E0003I4WU8 - POS 6;;;;;;;
