Teilnehmer;Anmeldeart_A;Verfahren;Bezugsnummer/LRN;Anlagedatum;Zeit;Zeitpunkt der letzten CUSTAX;Überlassungsdatum;Annahmedatum;Registriernummer/MRN;Weitere Reg.Nr.;EDIFNR;Versendungsland;Art der Vertretung;Vertreter des Anmelders;Vertreter AE EORI;AE Name;Versender CZ EORI;CZ Code;CZ Name;CZ Ländercode;Empfänger CN EORI;CN Code;CN Name;CN Ländercode;Anmelder DT EORI;DT Code;DT Name;DT Ländercode;UstID-DT;Käufer BY Name;BY EORI;Verkäufer SL Name;SL EORI;ZollRechtlicherStatus;Bewilligungsnummer;Gesamtgewicht;Vorst. Abzug;Liefercode;Lieferort;Lieferkey;Geschäftsart;Rechnungsbetrag;Rechnungswährung;Rechnungskurs;Zollstelle;Aufschubart;HZAZoll;KontoZoll;TextZoll;EORIZoll;KennzeichenEigenZoll;ArtEust;HZAEust;KontoEusT;TextEust;EORIEust;KennzeichenEigenEust;Container;Unterlagenzeile;Unterlagenbereich;Unterlagenart;Unterlagennummer;Unterlagendatum;PositionNo;Positionen;Vorausstl. Zollabgabe;Vorausstl. Zollsatzabgabe;Vorausstl. Eustabgabe;Vorausstl. Eustsatzabgabe;Zollwert;AbgabeZoll;AbgabeZollsatz;Eustwert;AbgabeEust;AbgabeEustsatz;AbgabeAntidumping;AbgabeAntidumpingSatz;Status Steuerbescheid;ArtikelCode;Warentarifnummer;Warenzusatz1;Warenzusatz2;Warenbezeichnung;Verfahren;EU Code;Artikelpreis;Statistischerwert;Eust manuell;Ursprung;Präferenzursprungsland;Beguenstigung;Rohmasse;Rohmasseeinheit;Eigenmasse;Eigenmasseeinheit;Positionszusatz;Aussenhandelstatistische Menge;Maßeinheit;AnzahlPackstücke;Packstückart;Packstückbezeichnung;Zusätzliche angaben;SonderAbgabeZoll;SonderAbgabeEust;AbgabeZusatzzölle;SonderAbgabeAntidumping;Verbrauchssteuern;Positionsunterlagenzeile;Unterlagenbereich;Unterlagenart;Unterlagennummer;Unterlagendatum;Nettokurs EAB;DV1Rechnungsbetrag;Währung;DV1UmgerechnerterRechnungsbetrag;Währung;DV1Versicherung;Währung;DV1Luftfrachtkosten;Währung;DV1Frachtkosten;Währung;DV1Materialien;Währung;DV1Provisionen;Währung;Abflughafen Code;Abflughafen Text;Vorpapierart;Vorpapiere Reg.nummer;BEAnteil SumA;BEAnteil ZL;BEAnteil AV;UST-ID Einführer;UST-ID Erwerber;UST-ID Fiskalvertreter;Shipmentnummer;Importstatus;DV1 Nettopreis Kurs; DV1 Luftfrachtkosten LK;DV1 LK Waehrung;DV1 LK prozent.Anteil;DV1 LK Kurs;DV1 Bef.kosten bis Ort des Verbringens;DV1 Befoerderungswaehrung;DV1 Befoerderungskurs;DV1 Lade/Behandlungskosten;DV1 Ladekostenwaehrung;DV1 Versicherungskosten;DV1 Versicherungskostenwaehrung;DV1 Versicherung prozent.Anteil;DV1 Befoerderungskosten nach Ankunft;DV1 Befoerderungskosten n.A. Waehrung;DV1 Befoerderungskosten n.A. Kurs;DV1 Andere Zahlungen;DV1 Andere Zahlungenwaehrung
ZOCE;EZA;IPDC;STPE0553879-HELLA;06.06.2025;08:50;30.06.2025 11:49;30.06.2025;30.06.2025;25DE4851FCA03XW2R0;ATC401688610620254851;CUSTAX48510000849498582300625114915;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;MICROLIGHT;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Microlight Auto Parts MFG Co. Ltd.;;IM;;428,300000;J;FOB;Taoyuan;1;11;18010,24;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;4;73,88;2,7;541,51;19;2736,39;73,88;2,7;2850,03;541,51;19;;;5;009.362-041;85122000900;;;hier: 240 Stk Rückleuchte für KFZ SB MD12 2SB, Artikel: 009.362-041, P/O:  570079232;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;2712,00;2736,00;;Taiwan;;100;;;51,500000;KGM;;;;3;PX;Adresse;;;;;;;0;4;7HHF;TPE0553879;03.05.2025;;2712,00;EUR;2712,00;EUR;0,42;EUR;;;23,97;EUR;;;;;;;ATNEU;; 25DE4851F0002P6XU3 - POS 1;;;;;;;;1,000000000;;;;;23,97;EUR;1,000000000;;;0,42;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553879-HELLA;06.06.2025;08:50;30.06.2025 11:49;30.06.2025;30.06.2025;25DE4851FCA03XW2R0;ATC401688610620254851;CUSTAX48510000849498582300625114915;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;MICROLIGHT;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Microlight Auto Parts MFG Co. Ltd.;;IM;;428,300000;J;FOB;Taoyuan;1;11;18010,24;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;4;73,88;2,7;541,51;19;2736,39;73,88;2,7;2850,03;541,51;19;;;5;009.362-041;85122000900;;;hier: 240 Stk Rückleuchte für KFZ SB MD12 2SB, Artikel: 009.362-041, P/O:  570079232;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;2712,00;2736,00;;Taiwan;;100;;;51,500000;KGM;;;;3;PX;Adresse;;;;;;;1;4;N380;ML-2025-04-009;09.04.2025;;2712,00;EUR;2712,00;EUR;0,42;EUR;;;23,97;EUR;;;;;;;ATNEU;; 25DE4851F0002P6XU3 - POS 1;;;;;;;;1,000000000;;;;;23,97;EUR;1,000000000;;;0,42;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553879-HELLA;06.06.2025;08:50;30.06.2025 11:49;30.06.2025;30.06.2025;25DE4851FCA03XW2R0;ATC401688610620254851;CUSTAX48510000849498582300625114915;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;MICROLIGHT;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Microlight Auto Parts MFG Co. Ltd.;;IM;;428,300000;J;FOB;Taoyuan;1;11;18010,24;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;2;4;281,53;2,7;2066,32;19;10427,09;281,53;2,7;10875,37;2066,32;19;;;5;009.362-011;85122000900;;;hier: 864 Stk. Rückleuchte für KFZ SB MD24 2SB, Artikel: 009.362-011, P/O:   5700079230;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;10324,80;10427,00;;Taiwan;;100;;;216,000000;KGM;;;;;;;;;;;;;0;4;7HHF;TPE0553879;03.05.2025;;10324,80;EUR;10324,80;EUR;1,78;EUR;;;100,51;EUR;;;;;;;ATNEU;; 25DE4851F0002P6XU3 - POS 1;;;;;;;;1,000000000;;;;;100,51;EUR;1,000000000;;;1,78;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553879-HELLA;06.06.2025;08:50;30.06.2025 11:49;30.06.2025;30.06.2025;25DE4851FCA03XW2R0;ATC401688610620254851;CUSTAX48510000849498582300625114915;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;MICROLIGHT;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Microlight Auto Parts MFG Co. Ltd.;;IM;;428,300000;J;FOB;Taoyuan;1;11;18010,24;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;2;4;281,53;2,7;2066,32;19;10427,09;281,53;2,7;10875,37;2066,32;19;;;5;009.362-011;85122000900;;;hier: 864 Stk. Rückleuchte für KFZ SB MD24 2SB, Artikel: 009.362-011, P/O:   5700079230;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;10324,80;10427,00;;Taiwan;;100;;;216,000000;KGM;;;;;;;;;;;;;1;4;N380;ML-2025-04-009;09.04.2025;;10324,80;EUR;10324,80;EUR;1,78;EUR;;;100,51;EUR;;;;;;;ATNEU;; 25DE4851F0002P6XU3 - POS 1;;;;;;;;1,000000000;;;;;100,51;EUR;1,000000000;;;1,78;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553879-HELLA;06.06.2025;08:50;30.06.2025 11:49;30.06.2025;30.06.2025;25DE4851FCA03XW2R0;ATC401688610620254851;CUSTAX48510000849498582300625114915;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;MICROLIGHT;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Microlight Auto Parts MFG Co. Ltd.;;IM;;428,300000;J;FOB;Taoyuan;1;11;18010,24;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;3;4;41,93;2,7;306,37;19;1553,11;41,93;2,7;1612,49;306,37;19;;;5;009.362-067;85122000900;;;hier: 128 Stk. Rückleuchte für KFZ SB MD12 2SB, Artikel: 009.362-067, P/O:  5700098385;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;1542,40;1553,00;;Taiwan;;100;;;22,600000;KGM;;;;;;;;;;;;;0;4;7HHF;TPE0553879;03.05.2025;;1542,40;EUR;1542,40;EUR;0,19;EUR;;;10,52;EUR;;;;;;;ATNEU;; 25DE4851F0002P6XU3 - POS 1;;;;;;;;1,000000000;;;;;10,52;EUR;1,000000000;;;0,19;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553879-HELLA;06.06.2025;08:50;30.06.2025 11:49;30.06.2025;30.06.2025;25DE4851FCA03XW2R0;ATC401688610620254851;CUSTAX48510000849498582300625114915;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;MICROLIGHT;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Microlight Auto Parts MFG Co. Ltd.;;IM;;428,300000;J;FOB;Taoyuan;1;11;18010,24;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;3;4;41,93;2,7;306,37;19;1553,11;41,93;2,7;1612,49;306,37;19;;;5;009.362-067;85122000900;;;hier: 128 Stk. Rückleuchte für KFZ SB MD12 2SB, Artikel: 009.362-067, P/O:  5700098385;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;1542,40;1553,00;;Taiwan;;100;;;22,600000;KGM;;;;;;;;;;;;;1;4;N380;ML-2025-04-009;09.04.2025;;1542,40;EUR;1542,40;EUR;0,19;EUR;;;10,52;EUR;;;;;;;ATNEU;; 25DE4851F0002P6XU3 - POS 1;;;;;;;;1,000000000;;;;;10,52;EUR;1,000000000;;;0,19;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553879-HELLA;06.06.2025;08:50;30.06.2025 11:49;30.06.2025;30.06.2025;25DE4851FCA03XW2R0;ATC401688610620254851;CUSTAX48510000849498582300625114915;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;MICROLIGHT;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Microlight Auto Parts MFG Co. Ltd.;;IM;;428,300000;J;FOB;Taoyuan;1;11;18010,24;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;4;4;93,27;2,7;681,26;19;3454,33;93,27;2,7;3585,58;681,26;19;;;5;010.458-771;85122000900;;;hier: 48 Set Leuchte für KFZ T PO MD12/24 (8ER) GN 2PT, Artikel: 010.458-771, P/O: 5700104276;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;3431,04;3454,00;;Taiwan;;100;;;49,200000;KGM;;;;;;;;;;;;;0;4;7HHF;TPE0553879;03.05.2025;;3431,04;EUR;3431,04;EUR;0,40;EUR;;;22,89;EUR;;;;;;;ATNEU;; 25DE4851F0002P6XU3 - POS 1;;;;;;;;1,000000000;;;;;22,89;EUR;1,000000000;;;0,40;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553879-HELLA;06.06.2025;08:50;30.06.2025 11:49;30.06.2025;30.06.2025;25DE4851FCA03XW2R0;ATC401688610620254851;CUSTAX48510000849498582300625114915;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;MICROLIGHT;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;Microlight Auto Parts MFG Co. Ltd.;;IM;;428,300000;J;FOB;Taoyuan;1;11;18010,24;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;4;4;93,27;2,7;681,26;19;3454,33;93,27;2,7;3585,58;681,26;19;;;5;010.458-771;85122000900;;;hier: 48 Set Leuchte für KFZ T PO MD12/24 (8ER) GN 2PT, Artikel: 010.458-771, P/O: 5700104276;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;3431,04;3454,00;;Taiwan;;100;;;49,200000;KGM;;;;;;;;;;;;;1;4;N380;ML-2025-04-009;09.04.2025;;3431,04;EUR;3431,04;EUR;0,40;EUR;;;22,89;EUR;;;;;;;ATNEU;; 25DE4851F0002P6XU3 - POS 1;;;;;;;;1,000000000;;;;;22,89;EUR;1,000000000;;;0,40;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553278-HELLA;06.06.2025;08:32;30.06.2025 12:29;30.06.2025;30.06.2025;25DE4851FCA03Y1QR0;ATC401690590620254851;CUSTAX48510000849512747300625122850;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;JULUEN ENTERPRISE;JULUEN ENTERPRISE CO. LTD.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;JULUEN ENTERPRISE CO. LTD.;;IM;;356,000000;J;FOB;Taoyuan;1;11;54268,20;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;8;314,92;2,7;2282,54;19;11663,61;314,92;2,7;12013,38;2282,54;19;;;5;012.160-01;85122000900;;;hier: 600 STk. Warnleuchten WL-LED GELB 12/24V für KFZ, Artikel: 012.160-01, P/O: 570017331;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;11646,00;11664,00;;Taiwan;;100;;;66,000000;KGM;;;;44;CT;Adresse;;;;;;;0;4;7HHF;TPE0553278;03.05.2025;;11646,00;EUR;11646,00;EUR;1,78;EUR;;;15,83;EUR;;;;;;;ATNEU;; 25DE4851F0002P81U4 - POS 17;;;;;;;;1,000000000;;;;;15,83;EUR;1,000000000;;;1,78;EUR;;;;;;
ZOCE;EZA;IPDC;STPE0553278-HELLA;06.06.2025;08:32;30.06.2025 12:29;30.06.2025;30.06.2025;25DE4851FCA03Y1QR0;ATC401690590620254851;CUSTAX48510000849512747300625122850;TW;1 - Vertretung im Namen und für Rechnung eines Anderen (direkte Vertretung);1;DE2329875;DSV Air & Sea Germany GmbH;;JULUEN ENTERPRISE;JULUEN ENTERPRISE CO. LTD.;TW;DE2393166;HELLA LIPPSTADT;Hella GmbH & Co. KGaA;DE;;;;;;Hella GmbH & Co. KGaA;DE2393166;JULUEN ENTERPRISE CO. LTD.;;IM;;356,000000;J;FOB;Taoyuan;1;11;54268,20;EUR;;DE004851 -- Hamburg;A0000;MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;B0000;MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;;;;;;1;8;314,92;2,7;2282,54;19;11663,61;314,92;2,7;12013,38;2282,54;19;;;5;012.160-01;85122000900;;;hier: 600 STk. Warnleuchten WL-LED GELB 12/24V für KFZ, Artikel: 012.160-01, P/O: 570017331;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;11646,00;11664,00;;Taiwan;;100;;;66,000000;KGM;;;;44;CT;Adresse;;;;;;;1;4;N380;XIN-25040025;10.04.2025;;11646,00;EUR;11646,00;EUR;1,78;EUR;;;15,83;EUR;;;;;;;ATNEU;; 25DE4851F0002P81U4 - POS 17;;;;;;;;1,000000000;;;;;15,83;EUR;1,000000000;;;1,78;EUR;;;;;;
