Teilnehmer;Anmeldeart_A;Verfahren;Bezugsnummer/LRN;Anlagedatum;Zeit;Registrienummer/MRN;Weitere Reg.Nr.;EDIFNR;Versender EORI;Versender Name;Versender Ländercode;Empfänger EORI;Empfänger Name;Empfänger Ländercode;Anmelder EORI;Anmelder Name;Anmelder Ländercode;ZollRechtlicherStatus;Liefercode;Lieferort;Lieferkey;Geschäftsart;Rechnungsbetrag;Rechnungswährung;Rechnungskurs;Addressierte Zollstelle;Aufschubart;AufschubHZAZoll;AufschubkontoZoll;AufschubTextZoll;AufschubEORIZoll;AufschubKennzeichenEigenZoll;AufschubArtEust;AufschubHZAEust;AufschubKontoEusT;AufschubTextEust;AufschubEORIEust;AufschubKennzeichenEigenEust;Container;PositionNo;Positionen;Vorraussichtliche Zollabgabe;Vorraussichtliche Zollsatzabgabe;Vorraussichtliche Eustabgabe;Vorraussichtliche Eustsatzabgabe;AbgabeZoll;AbgabeZollsatz;AbgabeEust;AbgabeEustsatz;Status Steuerbescheid;ArtikelCode;Warentarifnummer;Warenzusatz1;Warenzusatz2;Warenbezeichnung;Verfahren;EU Code;Artikelpreis;Ursprung;Präferenzursprungsland;Beguenstigung;Rohmasse;Rohmasseeinheit;Eigenmasse;Eigenmasseeinheit;Positionszusatz;Aussenhandelstatistische Menge;AnzahlPackstücke;Packstückart;Packstückbezeichnung;Zusätzliche angaben;SonderAbgabeZoll;SonderAbgabeEust;AbgabeZusatzzölle;AbgabeAntidumping;Verbrauchssteuern;DV1Rechnungsbetrag;DV1Rechnugnswährung;DV1UmgerechnerterRechnungsbetrag;DV1UmrechnungsWährung;DV1Versicherung;DV1Versicherungswährung;DV1Luftfrachtkosten;DV1Luftfrachtkostenwährung;DV1Frachtkosten;DV1Frachtkostenwährung;DV1Materialien;DV1MaterialienWährung;Abflughafen Code;Abflughafen Text;Vorpapiere Registriernummer
ZOCE;EZA;IMDC;STPE0523630-HELLA;06.01.2025;10:40;25DE4851ACA00YKGR3;ATC400411410120254851;CUSTAX48510000810446181060125153119;;Microlight Auto Parts MFG Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;KAHSIUNG;1;11;8458,56;EUR;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;1;1;230,55;2,7;1695,6;19;230,55;2,7;1695,6;19;5;012.206-112;85122000900;;;hier: 96 Scheinwerfer ZF 0/180GR SW MD12/24 1F0 für KFZ, Artikel: 012.206-112, P/O: 5700103919;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;0;8458,56;Taiwan;;100;;;136,8;KGM;;;1;PX;Adresse;;;;;;;8458,56;EUR;8458,56;EUR;1,31;EUR;;;79,13;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;61;61;93,6;2,7;682,32;19;93,6;2,7;682,32;19;5;;85129090000;;;hier: 400 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 184.107-401, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;3532;Taiwan;;100;;;304,8;KGM;;;0;;;;;;;;;3532;USD;3365,09;EUR;0,41;EUR;;;101,24;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;60;61;55,74;2,7;408,46;19;55,74;2,7;408,46;19;5;;85129090000;;;hier: 960 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.053-281, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;2064;Taiwan;;100;;;293,5;KGM;;;0;;;;;;;;;2064;USD;1966,46;EUR;0,39;EUR;;;97,49;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;59;61;46,9;2,7;343,61;19;46,9;2,7;343,61;19;5;;85129090000;;;hier: 960 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.053-241, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;1737,6;Taiwan;;100;;;244;KGM;;;0;;;;;;;;;1737,6;USD;1655,49;EUR;0,33;EUR;;;81,05;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;58;61;140,65;2,7;1030,47;19;140,65;2,7;1030,47;19;5;;85129090000;;;hier: 2880 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.053-221, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;5212,8;Taiwan;;100;;;727,9;KGM;;;0;;;;;;;;;5212,8;USD;4966,46;EUR;0,98;EUR;;;241,78;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;57;61;46,76;2,7;342,37;19;46,76;2,7;342,37;19;5;;85129090000;;;hier: 960 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.053-211, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;1737,6;Taiwan;;100;;;229,4;KGM;;;0;;;;;;;;;1737,6;USD;1655,49;EUR;0,31;EUR;;;76,2;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;56;61;22,12;2,7;161,79;19;22,12;2,7;161,79;19;5;;85129090000;;;hier: 480 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.053-191, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;825,6;Taiwan;;100;;;98,5;KGM;;;0;;;;;;;;;825,6;USD;786,59;EUR;0,13;EUR;;;32,72;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;55;61;63,04;2,7;460,44;19;63,04;2,7;460,44;19;5;;85129090000;;;hier: 1440 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 358.053-161, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;2361,6;Taiwan;;100;;;253,8;KGM;;;0;;;;;;;;;2361,6;USD;2250;EUR;0,34;EUR;;;84,3;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;54;61;25,45;2,7;187,54;19;25,45;2,7;187,54;19;5;;85129090000;;;hier: 1200 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 178.878-221, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;924;Taiwan;;100;;;186,9;KGM;;;0;;;;;;;;;924;USD;880,34;EUR;0,25;EUR;;;62,08;EUR;;;;;
ZOCE;EZA;IPDC;SDSV0696890-CAIU-HELLA;07.01.2025;09:01;25DE4851ACA02CTPR2;ATC401014480120254851;CUSTAX48510000812259141140125103158;;Chin Pech Co. Ltd.;TW;DE2393166;Hella GmbH & Co. KGaA;DE;;;;IM;FOB;Haiphong;1;11;105536,08;USD;;DE004851 -- Hamburg;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);MS;020123;Zölle (ohne EGKS-Zölle, Ausgleichs-, Antidumping- und Zusatzzölle, Zölle auf Agrarwaren) (ZOLLEU);DE2393166;E;Einfuhrumsatzsteuer (EUSt);MS;030441;Einfuhrumsatzsteuer (EUSt);DE2393166;E;;53;61;123,14;2,7;899,76;19;123,14;2,7;899,76;19;5;;85129090000;;;hier: 1800 Stk. Wischerblätter für KFZ-Scheibenwischer, Art-Nr.: 206.480-841, PO#: 4502915336;4000 -- Gleichzeitige Überführung in den zoll- und steuerrechtlich freien Verkehr ohne mehrwertsteuerbefreiende Lieferung ohne vorangegangene zollrechtliche Bestimmung.;;4608;Taiwan;;100;;;511,2;KGM;;;0;;;;;;;;;4608;USD;4390,24;EUR;0,68;EUR;;;169,8;EUR;;;;;
